gene_id	tissue	species	n_pipe	pipe
ENSOCUG00000012833	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012924	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012926	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012930	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012946	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012948	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000012991	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013007	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013022	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013093	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013117	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013118	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013172	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013180	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013204	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013225	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013306	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013318	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013398	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013438	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013445	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013453	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013468	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013489	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013490	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013491	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013492	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013543	Brain	Rabbit	1	MaSigPro 
ENSOCUG00000013582	Brain	Rabbit	1	MaSigPro 
